lectureName,lectureID,professor,department,lectureType
전공실기 7,GB043600,박노을,기악과,심화전공
움직임과 표현 1,ID003100,이효연,무용예술학과,핵심전공
전공실기 3,GA040900,오미선,성악과,핵심전공
조리과학실험,DB002100,표영희,식품영양학과,심화전공
일본정치론,BB021000,한의석,정치외교학과,핵심전공
전공실기1,IC000100,신형찬,현대실용음악학과,핵심전공
형법각론,BZ000500,이성기,법학부,핵심전공
교육실습(유치원),TE061201,미정,유아교육과,교직
문화예술의 이해,AZ000500,신혜수,인문과학대학,핵심전공
글로벌 비즈니스와 해외영업 전략,PD002100,구자원,글로벌비즈니스,심화전공
공통 일본어,SA040200,이지사,교양학부,공통교양
대학생을 위한 경제교육과 실용금융,SS081700,권민수,교양학부,진로소양
인공지능,LC003100,이재원,컴퓨터공학과,심화전공
전공실기 1,GB040100,김도연,기악과,핵심전공
통계 패키지를 활용한 자료 분석,BC052400,맹세호,심리학과,심화전공
초급 공간디자인실습,FE055800,안민선,산업디자인과,핵심전공
경제법,BA052100,황태희,법학부,심화전공
식물분류학,LG000900,김상태,바이오생명공학과,핵심전공
힐링이 있는 클래식 음악,SS051700,강석순,교양학부,핵심교양
성격심리학,BC041000,이상하,심리학과,핵심전공
창조적 사고와 글쓰기,SA011200,박근예,교양학부,공통교양
수영,DE023100,이수정,스포츠과학부,핵심전공
프랑스언어학입문 1,AJ002100,박선희,프랑스어문·문화학과,심화전공
최근 역사 쟁점과 논쟁,AG003100,이지영,사학과,심화전공
시창.청음 1,GC040500,강은경,작곡과,핵심전공
무기 체계론,SS032200,조현행,교양학부,핵심교양
전공실기 5,GB042400,안미현,기악과,심화전공
공통 스페인어,SA040500,조영실,교양학부,공통교양
동?서 철학의 만남,SS011200,양선진,교양학부,핵심교양
교육철학,EA000100,심형진,교육학과,핵심전공
자료구조,LC000700,이택,컴퓨터공학과,핵심전공
젠더로 본 세계화,SS102100,김미덕,교양학부,핵심교양
생활 속의 과학,SS050900,김상태,교양학부,핵심교양
노인간호학,HA001900,천주영,간호학과,심화전공
전공실기 5,GA041600,정수연,성악과,심화전공
서양근세미술과 문화,FB051100,이혜진,서양화과,핵심전공
도시교통-토지이용론,BD003400,박소현,지리학과,심화전공
디지털세라믹프로세스1,FD054600,한영숙,공예과,심화전공
모델링,FZ002200,김성복,미술대학,핵심전공
일반화학실험 1,CI000300,김정현,화학·에너지융합학부,핵심전공
프로젝트개발 및 창업,LC002700,서동수,컴퓨터공학과,심화전공
산학 협동 인턴십,SS077700,미정,현장실습운영팀,진로소양
현대문학의 이해,AA040100,김명석,국어국문학과,핵심전공
정신간호학 1,HA002600,정명실,간호학과,심화전공
보안소프트웨어 분석과 개발,LB003000,이택,융합보안공학과,심화전공
무용워크샵트레이닝 1,ID003600,김미숙,무용예술학과,핵심전공
시창.청음 1,GA040500,성혜진,성악과,핵심전공
마케팅조사론,BF050600,김남희,경영학과,심화전공
창조적 사고와 글쓰기,SA011200,김보람,교양학부,공통교양
동양정치사상,BB041200,김동현,정치외교학과,심화전공
공간장식도자 1,FD004900,한영숙,공예과,심화전공
전공실기 3,GB041300,허상미,기악과,핵심전공
VR 콘텐츠디자인,LA002100,김현석,서비스·디자인공학과,심화전공
파이썬프로그래밍,SA046200,김준영,정보시스템공학과,공통교양
유아를 위한 세계시민교육,EE061300,김고은,유아교육과,심화전공
미디어 아트 1,FC000100,이지숙,조소과,핵심전공
학교상담과 생활지도,BC002400,이정윤,심리학과,심화전공
전공실기 3,ID003400,이효연,무용예술학과,핵심전공
전공실기 3,IC000800,신기남,현대실용음악학과,핵심전공
디지털 오디오 워크스테이션 이해와 활용: 프로 툴스 1,IC001100,고남수,현대실용음악학과,핵심전공
문학과 여성,SS014200,정혜연,교양학부,핵심교양
재즈건반실습 1,GC060600,김지은,작곡과,심화전공
전공실기 3,GB041300,이혜선,기악과,핵심전공
전통무용,SS061400,성재형,교양학부,진로소양
공통 프랑스어,SA040300,음두은,교양학부,공통교양
사회심리학,BC040900,박혜경,심리학과,핵심전공
화성 및 이론 3(편곡),GB053500,정영빈,기악과,핵심전공
설득의 과학,SS086900,소현진,교양학부,핵심교양
자기 이해와 진로탐색,SS055100,이정은,인재개발팀,진로소양
공통 영어 스피치와 프레젠테이션 Ⅱ,SA020200,저스틴 벙커 버그,교양학부,공통교양
물리화학특강,CI003100,이철우,화학과,심화전공
사회조사방법론,CE001700,이성건,통계학과,심화전공
기본간호학실습 1,HA002900,김영주,간호학과,핵심전공
기초 회계의 이해,SS081300,이석영,교양학부,핵심교양
민법총칙,BZ000200,전광백,법학부,핵심전공
웹 보안,LB002300,이일구,융합보안공학과,핵심전공
GIS응용,BD002400,정재준,지리학과,심화전공
인테리어디자인,FE057500,윤현경,산업디자인과,심화전공
미술사와 창작,FZ000700,박관택,미술대학,핵심전공
전공실기1,IC000100,허준영,현대실용음악학과,핵심전공
생화학실험,CI002100,박성순,화학과,심화전공
전공실기 5,GB042400,박성진,기악과,심화전공
디지털컨텐츠,LZ000200,안민지,서비스·디자인공학과,핵심전공
전공실기 3,GB041300,윤유진,기악과,핵심전공
전공실기 7,GA042500,김범진,성악과,심화전공
공통 서구 문화의 이해,SA030500,다릴 로스,교양학부,공통교양
대중예술사,IZ000100,김정섭,융합문화예술대학,핵심전공
사회문제론,DD010700,조윤주,사회복지학과,핵심전공
텍스타일디자인프로세스 1,FD040700,이재선,공예과,핵심전공
세라믹프로덕트 디자인 1,FD008300,정소영,공예과,심화전공
요가테라피1,ID001700,임영희,무용예술학과,심화전공
탁구,DE020900,이시은,스포츠과학부,핵심전공
문화 속 디자인여행,KU012800,미정,학사운영팀,일반교양
문화예술법,BJ000600,황태희,법학부,핵심전공
재현적표현 1,FB041700,윤영혜,서양화과,핵심전공
패턴디자인기초,FD055500,정병헌,공예과,핵심전공
독일예술가곡,GA001600,김샤론,성악과,핵심전공
공통 영어 스피치와 프레젠테이션 Ⅱ,SA020200,마타 라카누이,교양학부,공통교양
일본어 교과교육론,AK001800,김옥임,일본어문·문화학과,심화전공
획과 여백 1,FZ001300,권기범,미술대학,핵심전공
학내연주 3,GB003500,오윤주,기악과,핵심전공
인체표현,FZ002600,이현정,미술대학,핵심전공
전공실기 5,GB042400,강석진,기악과,심화전공
전공실기 5,IC002000,이상원,현대실용음악학과,심화전공
비판적 사고와 토론,SA011100,서광열,교양학부,공통교양
음악형식 1,IC001300,김한아,현대실용음악학과,핵심전공
복소함수론,CA000900,황정연,수학과,심화전공
자존감 수업,SS042200,조주희,교양학부,핵심교양
전공실기 5,GB042400,민유경,기악과,심화전공
단막극제작실습 1,IB002900,신동길,미디어영상연기학과,핵심전공
전공실기 3,IC000800,송준영,현대실용음악학과,핵심전공
무기화학실험,CI001800,구본재,화학과,심화전공
근현대윤리이론,EC052100,권수현,윤리교육과,심화전공
기업재무,BF091400,정미화,경영학과,심화전공
국제정치사,BB041100,유나영,정치외교학과,핵심전공
전공실기 7,ID004400,장운규,무용예술학과,심화전공
대중문화와 문화연구,BH040900,박소연,미디어커뮤니케이션학과,심화전공
전공실기 3,IC000800,정이령,현대실용음악학과,핵심전공
일본어학개론,AK002100,안평호,일본어문·문화학과,심화전공
디자인씽킹스튜디오 1,FE043900,최인환,산업디자인과,심화전공
전공실기 3,IC000800,윤혜린,현대실용음악학과,핵심전공
합창 1,GA040300,김범진,성악과,핵심전공
전공실기 7,GB043600,피호영,기악과,심화전공
초급중국어 회화 1,AL000200,김경림,중국어문·문화학과,핵심전공
공통 중국어,SA040100,김경림,교양학부,공통교양
기초연기실습 1,IB000300,김혜진,미디어영상연기학과,핵심전공
중급일본어연습 1,AK000200,다케우치 노리아키,일본어문·문화학과,핵심전공
의과학과 화학입문 1,HB000700,이향애,글로벌의과학과,핵심전공
파이썬프로그래밍,SA046200,이종빈,정보시스템공학과,공통교양
고급재즈화성학 1,GC059800,김지은,작곡과,핵심전공
병리학,HA001000,임사란,간호학과,핵심전공
관현악을 위한 대위법 1,GB005300,전민재,기악과,핵심전공
디자인패턴,LD002900,홍의석,정보시스템공학과,심화전공
다문화사회의 생명윤리,EC001700,이경희,윤리교육과,핵심전공
동물생리학,LG001900,전용필,바이오생명공학과,심화전공
소비자유통과 창업,PC001900,양수진,소비자생활문화산업학과,심화전공
스포츠경영학,DE001700,정영남,스포츠레저학과,심화전공
전공이론 및 악기(B) 3,GC055400,김지현,작곡과,핵심전공
전공실기 5,GB042400,김도연,기악과,심화전공
초급화성 및 이론 1,GC060500,박지영,작곡과,핵심전공
금융기관론,BF050900,이현석,경영학과,심화전공
예술적 얼굴과 감정조절,SS101800,임상빈,교양학부,핵심교양
가계경제와 시장,PC000200,차경욱,소비자생활문화산업학과,핵심전공
디지털그래픽스,LD002100,변혜원,정보시스템공학과,심화전공
마케팅커뮤니케이션 효과론,BH042200,김동성,미디어커뮤니케이션학과,핵심전공
전공실기1,IC000100,박규연,현대실용음악학과,핵심전공
기초독일어회화 1,AI003500,마누엘 보가드,독일어문·문화학과,핵심전공
민주주의론,EC040600,권미정,윤리교육과,핵심전공
전공실기 7,GC023000,이인식,작곡과,심화전공
조직행동론,BF040800,국화,경영학과,핵심전공
열역학,LE001400,김정수,청정융합에너지공학과,핵심전공
관악합주 5,GB043000,김동수,기악과,심화전공
피아노문헌 1,GB043400,임지연,기악과,심화전공
계량경제학,BE050500,강석훈,경제학과,심화전공
공통 영어 스피치와 프레젠테이션 Ⅰ,SA020100,마타 라카누이,교양학부,공통교양
고급일본어회화,AK001900,네고로 유키,일본어문·문화학과,심화전공
전공실기 7,IC002900,임경은,현대실용음악학과,심화전공
전공실기 7,IC002900,김영준,현대실용음악학과,심화전공
알고리즘분석,LD002000,김도형,정보시스템공학과,심화전공
전공실기 3,GB041300,김승현,기악과,핵심전공
창조적 사고와 글쓰기,SA011200,이세경,교양학부,공통교양
일반생물학 1,HB000300,최상철,글로벌의과학과,핵심전공
동아시아정치경제론,BB052800,이유정,정치외교학과,심화전공
경서강독,ED002100,김희영,한문교육과,핵심전공
학내연주 3,GA004100,김미현,성악과,핵심전공
전공실기1,IC000100,김희주,현대실용음악학과,핵심전공
커뮤니케이션디자인 프로젝트,FE060700,김형우,산업디자인과,심화전공
창조적 사고와 글쓰기,SA011200,정슬아,교양학부,공통교양
마케팅원론,IA000800,김시영,문화예술경영학과,핵심전공
국어 논리 및 논술,AA032700,김혜련,국어국문학과,심화전공
물리학 1,HB001100,조명원,글로벌의과학과,핵심전공
전공실기 5,GB042400,정재원,기악과,심화전공
전공실기 5,GC021300,설수경,작곡과,심화전공
동양고전의 산책,SS058000,김희영,교양학부,핵심교양
인텔리전스 서비스디자인,LA003100,김현석,서비스·디자인공학과,심화전공
전통과 현대염색기법,PA001000,손혜승,의류산업학과,핵심전공
통합금속공예실기 1,FD040500,김종승,공예과,핵심전공
일반생물학 Ⅰ,SB030500,최상철,바이오생명공학과,핵심교양
자기이해 및 윤리교육 진로탐색,EC052000,윤용남,윤리교육과,핵심전공
합주 7,GB046400,김광현,기악과,심화전공
간호관리학,HA004100,고정미,간호학과,심화전공
교육과정,TE060700,황순예,교육학과,교직
전공실기 5,GA041600,김범진,성악과,심화전공
전공실기 7,GA042500,박경희,성악과,심화전공
창조적 사고와 글쓰기,SA011200,김자영,교양학부,공통교양
중국어번역연습,AL003200,황정희,중국어문·문화학과,심화전공
근대영국소설,AB050900,정이화,영어영문학과,핵심전공
세계 복식과 패션정보,SS024500,이정명,교양학부,핵심교양
졸업작품연구 1,FB053500,임상빈,서양화과,심화전공
해부생리학 1,HB000100,전민영,글로벌의과학과,핵심전공
국문학의 이해,AA000200,심치열,국어국문학과,핵심전공
서양 시각예술론,FB000800,이혜진,서양화과,심화전공
동시대 조각의 현장 1,FC001200,이연숙,조소과,핵심전공
초급중국어 회화 1,AL000200,리우 나,중국어문·문화학과,핵심전공
데이터 사이언스 1,BF051300,심선영,경영학과,심화전공
전공실기 3,GA040900,정나리,성악과,핵심전공
행정법총론,BA040800,이재훈,법학부,심화전공
프랑스어,SS084100,이명은,교양학부,진로소양
지휘법 1,GB001300,김동수,기악과,심화전공
여성과 경제,BE000900,김난주,경제학과,핵심전공
American Culture and History,SS082100,존 다니엘 맥카시,교양학부,핵심교양
공간디자인스튜디오 1,FE058700,장기윤,산업디자인과,심화전공
현대조각 1,FC040900,노주환,조소과,심화전공
공통 영어 스피치와 프레젠테이션 Ⅰ,SA020100,다릴 로스,교양학부,공통교양
태권도,DE011000,김영진,스포츠과학부,핵심전공
전공실기 5,GB042400,정담온,기악과,심화전공
유아교사론,EE001600,김은희,유아교육과,심화전공
모두의 인공지능,OU098400,미정,학사운영팀,일반교양
전공실기 7,GB043600,김성희,기악과,심화전공
통계프로그래밍,CE000200,오찬욱,통계학과,핵심전공
화학 교과교육론,CI002300,김경순,화학과,심화전공
공통 영어 스피치와 프레젠테이션 Ⅱ,SA020200,로난 맥알리스터,교양학부,공통교양
현대 사회와 소외,SG040400,김선주,교양학부,핵심교양
컴퓨터생물학개론,LG002900,최상철,바이오생명공학과,핵심전공
20세기음악 1,GC050600,임현경,작곡과,심화전공
전공실기 7,GB043600,이재준,기악과,심화전공
뉴미디어,FB052800,임상빈,서양화과,심화전공
파이썬프로그래밍,SA046200,김호성,정보시스템공학과,공통교양
초급프랑스어 1,AJ000100,이채영,프랑스어문·문화학과,핵심전공
가정 교과교육론,PZ000100,이신애,뷰티 생활산업국제대학,심화전공
정치학원서강독,BB000100,김영호,정치외교학과,심화전공
공통 실용적 영어 글쓰기 Ⅱ,SA020500,저스틴 벙커 버그,교양학부,공통교양
움직임과 표현 1,ID003100,유지연,무용예술학과,핵심전공
테니스 1,DE021000,김현경,스포츠레저학과,핵심전공
전공실기 7,GB043600,일리야 라쉬코프스키,기악과,심화전공
헌법 3,BA001300,정연주,법학부,핵심전공
전공실기 5,GA041600,이정은,성악과,심화전공
기본간호학실습 1,HA002900,나윤희,간호학과,핵심전공
현대회화 3(복합매체),FB054000,김태서,서양화과,심화전공
이상심리학,BC000200,김명선,심리학과,심화전공
서양음악사및문헌 1,GC000900,이혜진,작곡과,핵심전공
생활 도예,SS081600,강인경,교양학부,진로소양
독일 미디어와 언어,AI003900,홍미경,독일어문·문화학과,심화전공
빅데이터분석,LA002300,윤상덕,서비스·디자인공학과,심화전공
비즈니스모델링,LA002400,이여름,서비스·디자인공학과,심화전공
전쟁과 평화,BB052400,김용직,정치외교학과,심화전공
전공실기 3,GB041300,최고은,기악과,핵심전공
전공실기 7,GB043600,이세영,기악과,심화전공
합주 1,GB045200,김동수,기악과,핵심전공
테이블웨어프로젝트 1,FD057900,이혜미,공예과,심화전공
웹프로그래밍기초,LZ000300,김경진,서비스·디자인공학과,핵심전공
비판적 사고와 토론,SA011100,김형중,교양학부,공통교양
한국미술사 1,FZ002300,이보연,미술대학,핵심전공
졸업작품연구 2,FB053600,박영근,서양화과,심화전공
식물분류학실험,LG001200,김상태,바이오생명공학과,핵심전공
기초메이크업,PB000400,김정하,뷰티산업학과,핵심전공
영상연기 실습 1,IB002100,손보민,미디어영상연기학과,핵심전공
과학 논리 및 논술,CI002200,김경순,화학과,심화전공
스포츠카운셀링,DF003000,천성민,운동재활복지학과,심화전공
현대조각 1,FC040900,정정주,조소과,심화전공
자유창작 1,FC041400,노주환,조소과,심화전공
해석학개론 및 연습 1,CA000500,김도현,수학과,핵심전공
Eco-Politics,BB001500,박진곤,정치외교학과,핵심전공
단막극제작실습 1,IB002900,김혜진,미디어영상연기학과,핵심전공
창조적 사고와 글쓰기,SA011200,선민서,교양학부,공통교양
최신통계방법론,CE053300,최병정,통계학과,심화전공
화장품과 피부,SS086200,최서정,교양학부,핵심교양
전공이론 및 악기(A) 7,GC055700,유선옥,작곡과,심화전공
안보학,SS057300,이성희,학생군사교육단,진로소양
다매체 유아교육 방법론,EE001300,조미영,유아교육과,심화전공
융합보안 범죄대책론,LB002600,이상학,융합보안공학과,심화전공
전공실기 3,GC020500,설수경,작곡과,핵심전공
특수체육,DF004400,임상훈,운동재활복지학과,심화전공
동요반주법 3,EE001100,강보라,유아교육과,핵심전공
디지털이미징 1,FE092200,박한진,산업디자인과,심화전공
졸업프로젝트,PA003400,염미선,의류산업학과,심화전공
일본 근현대문학과 내러티브,AK002900,홍윤표,일본어문·문화학과,심화전공
비판적 사고와 토론,SA011100,주민재,교양학부,공통교양
공통 프랑스어,SA040300,황원미,교양학부,공통교양
현대회화 1,FB040700,임상빈,서양화과,핵심전공
우리 문화 속의 한자어,SS079900,김용재,교양학부,핵심교양
주식회사법,BA003400,박한성,법학부,심화전공
반주법 1,GB001700,고은지,기악과,심화전공
공통 일본어,SA040200,김유진,교양학부,공통교양
교육평가,TE060800,강태훈,교육학과,교직
사회복지학개론,DD010100,이승기,사회복지학과,핵심전공
위상수학 1,CA041000,윤기헌,수학과,심화전공
전공실기 5,IC002000,윤영삼,현대실용음악학과,심화전공
이산수학,LD000200,유재현,정보시스템공학과,핵심전공
헌법 1,BA040200,정연주,법학부,핵심전공
컴퓨팅적 사고,SA045400,진동욱,교양학부,공통교양
한?중 문화와 컨텐츠,KS002800,송향경,국제교류지원팀,진로소양
전공실기 5,GA041600,박경희,성악과,심화전공
입체와 공간,FZ000100,김주영,미술대학,핵심전공
영양교육 및 상담실습,DB001700,이승민,식품영양학과,심화전공
게임이론,BE001400,이동열,경제학과,핵심전공
현대음악의 이해,OU099100,미정,학사운영팀,일반교양
전공실기 3,IC000800,김주현,현대실용음악학과,핵심전공
20세기피아노문헌,GB002800,이준성,기악과,심화전공
문화예술감상과 이해,IA000200,정경미,문화예술경영학과,핵심전공
중국의 사상과 문화,SS030500,신준호,교양학부,핵심교양
융합과학개론,LE003600,양인목,청정융합에너지공학과,핵심전공
전공실기 7,ID004400,최경란,무용예술학과,심화전공
성장과 발달,HA000100,김동희,간호학과,핵심전공
영미 대중음악과 문화,SS102400,마이클 엘리어트,교양학부,진로소양
TV드라마 연기실습 1,IB002200,손보민,미디어영상연기학과,심화전공
재무회계,BF040400,전홍민,경영학,핵심전공
프랑스어 어휘와 문화,AJ002200,박혜선,프랑스어문·문화학과,심화전공
교육실습(보건),TE061204,미정,간호학과,교직
공통 일본어,SA040200,유혜경,교양학부,공통교양
전공실기 7,GC023000,구본우,작곡과,심화전공
전공실기 7,GB043600,정담온,기악과,심화전공
마케팅원론,IA000800,김정선,문화예술경영학과,핵심전공
포스트휴머니즘의 이해,SS101300,석기용,교양학부,핵심교양
초급중국어 회화 1,AL000200,노은정,중국어문·문화학과,핵심전공
식품 물리화학,LF000500,김종훈,바이오식품공학과,핵심전공
전공실기 5,GB042400,황소진,기악과,심화전공
극장 경영,IA001500,김종헌,문화예술경영학과,심화전공
북한학,SS022500,조현행,교양학부,핵심교양
패션마케팅,PA000300,정이재,의류산업학과,핵심전공
한국인의 문화와 심리,OU002100,미정,학사운영팀,일반교양
English through Film and Television,SS081800,앤드리아 톨레프슨,교양학부,진로소양
유비쿼터스컴퓨팅,LC003000,조미영,컴퓨터공학과,심화전공
해킹프로그램실습 1,LB002100,장대희,융합보안공학과,심화전공
뷰티산업의 진로와 전망 ,PB000200,김민경,뷰티산업학과,핵심전공
실내악 1,GB051200,황소진,기악과,핵심전공
공통 드라마 영어,SA030200,수잔 홀랜드,교양학부,공통교양
호신술,SS060900,양윤권,교양학부,진로소양
회화적 사진,FB053000,조병왕,서양화과,핵심전공
단체급식 및 실습,DB001900,고성희,식품영양학과,심화전공
교육실습(영양),TE061203,미정,식품영양학과,교직
미적분과 벡터해석 기초,SA045900,김도현,수학과,공통교양
전공실기 5,GB042400,정순섭,기악과,심화전공
머신러닝을 위한 수학,CA061100,김주홍,수학과,핵심전공
기후학,BD000300,박경,지리학과,심화전공
창조적 사고와 글쓰기,SA011200,이은우,교양학부,공통교양
국가안보론,SS020400,공평원,교양학부,핵심교양
창조적 사고와 글쓰기,SA011200,이주영,교양학부,공통교양
음악분석 1,IC000400,김한아,현대실용음악학과,핵심전공
컴퓨터ㆍ전자음악 1,GC007400,조진옥,작곡과,핵심전공
졸업프로젝트,PA003400,이영주,의류산업학과,심화전공
전공실기 5,GC021300,이인식,작곡과,심화전공
생물통계학,LG002000,최상철,바이오생명공학과,심화전공
성악문헌 1,GA002100,송혜진,성악과,심화전공
산업복지론,DD041600,조윤주,사회복지학과,심화전공
전공실기 1,GB040100,윤유진,기악과,핵심전공
통합금속공예실기 1,FD040500,신혜정,공예과,핵심전공
여성학 개론 Ⅰ,SS101400,김미덕,교양학부,핵심교양
전공실기 5,GB042400,박준서,기악과,심화전공
발레: 융합문화예술의 실제,SS053400,김주원,교양학부,핵심교양
아동간호학 2,HA003300,김동희,간호학과,심화전공
전공실기 3,IC000800,김주헌,현대실용음악학과,핵심전공
윤리학개론,EC040400,권수현,윤리교육과,핵심전공
산업디자인기초,FE003200,최인환,산업디자인과,핵심전공
전공실기 7,GB043600,정순섭,기악과,심화전공
컴퓨터시스템관리,LC000900,김종완,컴퓨터공학과,핵심전공
지역사회간호학실습1,HA004300,조정민,간호학과,심화전공
비판적 사고와 토론,SA011100,손성우,교양학부,공통교양
현대소설과 사회,AA040900,김명석,국어국문학과,핵심전공
특수교육학개론,TE061500,최은정,교육학과,교직
영사법무학1,BZ000800,김현명,법학부,심화전공
동아시아의 역사와 문화,SS050300,이완석,교양학부,핵심교양
창조적 사고와 글쓰기,SA011200,구선정,교양학부,공통교양
전공실기 1,GA040100,백경원,성악과,핵심전공
응용메이크업,PB001400,량쉬,뷰티산업학과,핵심전공
창업과 법,BJ003300,임광섭,지식산업법학과,심화전공
지형학,BD000700,박경,지리학과,핵심전공
합창지휘 1,GA003200,박승유,성악과,심화전공
시창.청음 3,GA050100,성혜진,성악과,핵심전공
기초조형1,FA060600,김희진,동양화과,핵심전공
인터페이스디자인 1,FE092000,신수민,산업디자인과,심화전공
인터넷 쇼핑몰 구축과 창업,SS083600,호준환,창업교육팀,진로소양
소비자재무설계,PC000800,김정현,소비자생활문화산업학과,핵심전공
교육사회,TE061100,서승연,교육학과,교직
단체급식관리,DB041200,고성희,식품영양학과,심화전공
졸업작품 및 논문 ,PB003900,박초희,뷰티산업학과,심화전공
정보시스템 캡스톤디자인,LD002800,정영희,정보시스템공학과,심화전공
비즈니스 프랑스어,AJ002900,토마 기데,프랑스어문·문화학과,심화전공
일본 고전문법의 이해,AK002800,김원기,일본어문·문화학과,심화전공
전공실기 7,GB043600,황대남,기악과,심화전공
빅데이터의 이해와 활용,SS079500,허명회,교양학부,핵심교양
초급중국어 1,AL000300,김은희,중국어문·문화학과,핵심전공
고급회계,BF052100,전홍민,경영학과,심화전공
공예와문화 1,FD094200,김시만,공예과,핵심전공
프랑스어 어법과 연습 1,AJ000800,홍용철,프랑스어문·문화학과,핵심전공
유아교육개론,EE040200,배지희,유아교육과,핵심전공
성악 세미나 3,GA054000,김범진,성악과,핵심전공
창조적 사고와 글쓰기,SA011200,신민영,교양학부,공통교양
자바프로그래밍 응용,LC002400,우종정,컴퓨터공학과,심화전공
경영통계학,BF000100,경나경,경영학부,핵심전공
전공실기 3,GB041300,이세영,기악과,핵심전공
유아 및 노인체육,DE010200,김은정,스포츠레저학과,핵심전공
전공실기 5,IC002000,우미진,현대실용음악학과,심화전공
전공실기 5,GA041600,오미선,성악과,심화전공
음악치료학,GC090500,강경선,작곡과,핵심전공
오페라의 이해,SS052900,오유석,교양학부,핵심교양
보육과정,EE000700,황인애,유아교육과,핵심전공
전공실기 1,ID003000,박순영,무용예술학과,핵심전공
공통 드라마 영어,SA030200,스티븐 파이겐바움,교양학부,공통교양
송라이팅을 위한 보컬 합주 1,IC002600,윤혜린,현대실용음악학과,심화전공
국제경영학,BF041100,신철호,경영학과,심화전공
프로그램개발과 평가,DD030500,박주희,사회복지학과,심화전공
미국 드라마 스토리텔링,AB001400,마이클 엘리어트,영어영문학과,심화전공
교육학 교과교육론,EA041400,김명랑,교육학과,심화전공
비판적 사고와 토론,SA011100,이혜진,교양학부,공통교양
도시지리학,BD040700,이자원,지리학과,핵심전공
비판적 사고와 토론,SA011100,기유정,교양학부,공통교양
"기본권, 세상과 통하는 법",SS100300,김연식,교양학부,핵심교양
공연워크샵 1,IB000900,김정훈,미디어영상연기학과,심화전공
패션창업과 마케팅 1,PA003300,이영주,의류산업학과,심화전공
동남아정치론,BB000700,윤진표,정치외교학과,심화전공
자바프로그래밍 응용,LC002400,이윤경,컴퓨터공학과,심화전공
언어의 표현과 이해 Ⅱ,KS002100,주월랑,국제교류지원팀,진로소양
전공실기 5,GB042400,강희선,기악과,심화전공
인권의 이해,SS070300,올리버 테리,교양학부,핵심교양
지역사회간호학 1,HA002000,조정민,간호학과,심화전공
중국어 Ⅱ,SG011400,신준호,교양학부,진로소양
생활 속의 의학정보,SS056700,유하정,교양학부,핵심교양
영어 통번역 입문,SS057900,김장욱,교양학부,진로소양
정보디자인 1,FE058200,권다은,산업디자인과,심화전공
독일어권 문화와 사회,AI000200,김길웅,독일어문·문화학과,핵심전공
공간연출디자인스튜디오 1,FE058900,이소영,산업디자인과,심화전공
사용자경험디자인,FE058000,김혜린,산업디자인과,심화전공
한문 교과교육론,ED003900,정효영,한문교육과,심화전공
이태리어딕션,GA000700,박지현,성악과,핵심전공
현대대수학 1,CA000700,신용수,수학과,심화전공
현대프랑스소설과 작가,AJ003000,김지현,프랑스어문·문화학과,심화전공
전쟁사,SS022400,공평원,교양학부,핵심교양
국가브랜드의 의미와 이해,SS054800,서경덕,교양학부,핵심교양
분석화학 1,CI000900,신민정,화학과,핵심전공
자료구조,LC000700,장재경,컴퓨터공학과,핵심전공
무용워크샵트레이닝 1,ID003600,정경화,무용예술학과,핵심전공
이상심리학,BC000200,서수연,심리학과,심화전공
시창.청음 1,GB040500,김지현,기악과,핵심전공
바이오식품안전법규,LF001900,현정은,바이오식품공학과,심화전공
문화내러티브 기획과 실제,AZ001100,김정숙,인문과학대학,심화전공
전공실기1,IC000100,이나경,현대실용음악학과,핵심전공
전공실기1,IC000100,정민영,현대실용음악학과,핵심전공
마케팅원론,BF040500,김종배,경영학과,핵심전공
패션디자인CAD 2,PA004400,김덕하,의류산업학과,심화전공
주얼리디자인기획 1,FD058300,김송,공예과,심화전공
전공실기 3,GB041300,김도연,기악과,핵심전공
전공실기 7,GB043600,이응우,기악과,심화전공
창조적 사고와 글쓰기,SA011200,박상란,교양학부,공통교양
일반화학실험 1,CI000300,채정현,화학·에너지융합학부,핵심전공
가족생활교육,DD020100,박주희,사회복지학과,핵심전공
획과 여백 1,FZ001300,홍지윤,미술대학,핵심전공
한국근현대동양화 이론과 현장,FA051900,이보연,동양화과,심화전공
춤의 이해,OU098900,미정,학사운영팀,일반교양
비즈니스를 위한 인공지능,SS102300,심선영,교양학부,핵심교양
전공실기 7,GB043600,오윤주,기악과,심화전공
서예,ED000200,이진선,한문교육과,핵심전공
한국 사상 오딧세이,SS078600,전수연,교양학부,핵심교양
외국어 논리 및 논술(서양권),AB032300,고정민,영어영문학과,심화전공
일반생물학실험 1,LG000200,임동현,바이오생명공학과,핵심전공
교육실습(전문상담),TE061202,미정,심리학과,교직
전공실기 7,GC023000,강은경,작곡과,심화전공
글로벌 비즈니스를 위한 경제학,PD000200,이윤경,경영학부,핵심전공
브랜딩1,FE058400,장혜진,산업디자인과,심화전공
ICT와 글로벌 비즈니스,PD003000,구자원,글로벌비즈니스,심화전공
국제정치사상,BB000200,김영호,정치외교학과,심화전공
사회적서비스디자인,LA002200,최경아,서비스·디자인공학과,심화전공
타이포그래피 1,FE025000,홍민아,산업디자인과,핵심전공
성악 세미나 1,GA053900,오미선,성악과,핵심전공
영사법무 사례연구,BZ000900,한동만,법학부,심화전공
영어 발음의 원리,SS102900,윤태진,교양학부,진로소양
